,Sample_name,cycle_num,Pool,sample_id,sample_num
1,24C_AllPool.1,24,1,24C_AllPool,Calibration
2,24C_AllPool.2,24,2,24C_AllPool,Calibration
3,24C_AllPool.3,24,3,24C_AllPool,Calibration
4,28C_AllPool.1,28,1,28C_AllPool,Calibration
5,28C_AllPool.2,28,2,28C_AllPool,Calibration
6,28C_AllPool.3,28,3,28C_AllPool,Calibration
7,C1.T7.H9_S1.2,30,2,C1.T7.H9_S1,C1.T7.H9_S1
8,C1.T8.H10_S1.2,30,2,C1.T8.H10_S1,C1.T8.H10_S1
9,C2.T8.H18_S1.1,30,1,C2.T8.H18_S1,C2.T8.H18_S1
10,C2.T8.H18_S1.2,30,2,C2.T8.H18_S1,C2.T8.H18_S1
11,C3.T6.H25_S1.1,30,1,C3.T6.H25_S1,C3.T6.H25_S1
12,C3.T6.H25_S1.2,30,2,C3.T6.H25_S1,C3.T6.H25_S1
13,C3.T7.H26_S1.1,30,1,C3.T7.H26_S1,C3.T7.H26_S1
14,C3.T7.H26_S1.2,30,2,C3.T7.H26_S1,C3.T7.H26_S1
15,CT1.T1.H28_S1.1,30,1,CT1.T1.H28_S1,CT1.T1.H28_S1
16,CT1.T1.H28_S1.2,30,2,CT1.T1.H28_S1,CT1.T1.H28_S1
17,CT1.T2.H29_S1.1,30,1,CT1.T2.H29_S1,CT1.T2.H29_S1
18,CT1.T2.H29_S1.2,30,2,CT1.T2.H29_S1,CT1.T2.H29_S1
19,CT1.T3.H30_S1.1,30,1,CT1.T3.H30_S1,CT1.T3.H30_S1
20,CT1.T3.H30_S1.2,30,2,CT1.T3.H30_S1,CT1.T3.H30_S1
21,CT1.T5.H32_S1.1,30,1,CT1.T5.H32_S1,CT1.T5.H32_S1
22,CT1.T5.H32_S1.2,30,2,CT1.T5.H32_S1,CT1.T5.H32_S1
23,CT1.T6.H33_S1.1,30,1,CT1.T6.H33_S1,CT1.T6.H33_S1
24,CT1.T6.H33_S1.2,30,2,CT1.T6.H33_S1,CT1.T6.H33_S1
25,CT1.T7.H34_S1.1,30,1,CT1.T7.H34_S1,CT1.T7.H34_S1
26,CT1.T7.H34_S1.2,30,2,CT1.T7.H34_S1,CT1.T7.H34_S1
27,CT1.T8.H35_S1.1,30,1,CT1.T8.H35_S1,CT1.T8.H35_S1
28,CT1.T8.H35_S1.2,30,2,CT1.T8.H35_S1,CT1.T8.H35_S1
29,CT2.T1.H36_S1.1,30,1,CT2.T1.H36_S1,CT2.T1.H36_S1
30,CT2.T1.H36_S1.2,30,2,CT2.T1.H36_S1,CT2.T1.H36_S1
31,CT2.T4.H39_S1.1,30,1,CT2.T4.H39_S1,CT2.T4.H39_S1
32,CT2.T4.H39_S1.2,30,2,CT2.T4.H39_S1,CT2.T4.H39_S1
33,CT2.T8.H43_S1.1,30,1,CT2.T8.H43_S1,CT2.T8.H43_S1
34,CT2.T8.H43_S1.2,30,2,CT2.T8.H43_S1,CT2.T8.H43_S1
35,C1.T8.H10_S1.3,30,3,C1.T8.H10_S1,C1.T8.H10_S1
36,C2.T8.H18_S1.3,30,3,C2.T8.H18_S1,C2.T8.H18_S1
37,C3.T6.H25_S1.3,30,3,C3.T6.H25_S1,C3.T6.H25_S1
38,C3.T7.H26_S1.3,30,3,C3.T7.H26_S1,C3.T7.H26_S1
39,CT1.T1.H28_S1.3,30,3,CT1.T1.H28_S1,CT1.T1.H28_S1
40,CT1.T2.H29_S1.3,30,3,CT1.T2.H29_S1,CT1.T2.H29_S1
41,CT1.T3.H30_S1.3,30,3,CT1.T3.H30_S1,CT1.T3.H30_S1
42,CT1.T5.H32_S1.3,30,3,CT1.T5.H32_S1,CT1.T5.H32_S1
43,CT1.T6.H33_S1.3,30,3,CT1.T6.H33_S1,CT1.T6.H33_S1
44,CT1.T7.H34_S1.3,30,3,CT1.T7.H34_S1,CT1.T7.H34_S1
45,CT1.T8.H35_S1.4,30,4,CT1.T8.H35_S1,CT1.T8.H35_S1
46,CT2.T8.H43_S1.3,30,3,CT2.T8.H43_S1,CT2.T8.H43_S1
