"","Phylum","Class","Order"
"1","other","other","other"
"2","Arthropoda","Hexanauplia","Pedunculata"
"3","Chaetognatha","Sagittoidea","Aphragmophora"
"4","Arthropoda","Hexanauplia","Siphonostomatoida"
"5","Cnidaria","Anthozoa","Actiniaria"
"6","Mollusca","Cephalopoda","Teuthida"
"7","Chordata","Actinopteri","Carangiformes"
"8","Chordata","Thaliacea","Pyrosomatida"
"9","Chordata","Thaliacea","Doliolida"
"10","Arthropoda","Branchiopoda","Onychopoda"
"11","Arthropoda","Malacostraca","Decapoda"
"12","Arthropoda","Insecta","Diptera"
"13","Echinodermata","Ophiuroidea","Ophiurida"
"14","Arthropoda","Arachnida","Araneae"
"15","Cnidaria","Hydrozoa","Siphonophorae"
"16","Arthropoda","Ostracoda","Halocyprida"
"17","Arthropoda","Malacostraca","Amphipoda"
"18","Mollusca","Gastropoda","Cephalaspidea"
"19","Mollusca","Gastropoda","Pteropoda"
"20","Sipuncula","other","Phascolosomatiformes"
"21","Arthropoda","Malacostraca","Isopoda"
"22","Chordata","Actinopteri","Stomiiformes"
"23","Echinodermata","Asteroidea","Valvatida"
"24","Rhodophyta","Florideophyceae","Ceramiales"
"25","Chordata","Actinopteri","Myctophiformes"
"26","Arthropoda","Hexanauplia","Calanoida"
"27","Annelida","Polychaeta","Terebellida"
"28","Annelida","Polychaeta","Phascolosomatiformes"
"29","Arthropoda","Insecta","Lepidoptera"
"30","Nemertea","Pilidiophora","Heteronemertea"
"31","Cnidaria","Hydrozoa","Trachymedusae"
"32","Mollusca","Bivalvia","Myida"
"33","Annelida","Polychaeta","Spionida"
"34","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"35","Cnidaria","Scyphozoa","Semaeostomeae"
"36","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales"
"37","Arthropoda","Hexanauplia","Sessilia"
"38","Chordata","Aves","Procellariiformes"
"39","Mollusca","Gastropoda","Nudibranchia"
"40","Chordata","Actinopteri","Anguilliformes"
"41","other","Pelagophyceae","Pelagomonadales"
"42","Arthropoda","Malacostraca","Euphausiacea"
"43","Arthropoda","Hexanauplia","Poecilostomatoida"
"44","Chlorophyta","Chloropicophyceae","Chloropicales"
"45","other","Dinophyceae","Syndiniales"
"46","Arthropoda","Insecta","Coleoptera"
"47","Annelida","Polychaeta","Phyllodocida"
"48","Arthropoda","Hexanauplia","Harpacticoida"
"49","Echinodermata","Echinoidea","Echinoida"
"50","Arthropoda","Hexanauplia","Cyclopoida"
"51","Echinodermata","Echinoidea","Camarodonta"
"52","other","Phaeophyceae","Ectocarpales"
"53","Mollusca","Bivalvia","Mytiloida"
"54","Arthropoda","Branchiopoda","Diplostraca"
"55","Bryozoa","Gymnolaemata","Cheilostomatida"
"56","Mollusca","Gastropoda","Littorinimorpha"
"57","Echinodermata","Ophiuroidea","Amphilepidida"
"58","Chordata","Actinopteri","Argentiniformes"
"59","Chordata","Actinopteri","Pleuronectiformes"
"60","Ctenophora","Tentaculata","Cydippida"
"61","Arthropoda","Insecta","Hemiptera"
"62","Chordata","Mammalia","Diprotodontia"
"63","Chordata","Actinopteri","Scombriformes"
"64","Platyhelminthes","Class","Polycladida"
"65","Chordata","Mammalia","Primates"
"66","Mollusca","Gastropoda","Neogastropoda"
"67","Oomycota","other","Peronosporales"
"68","Proteobacteria","Alphaproteobacteria","Pelagibacterales"
"69","Sipuncula","other","Golfingiida"
"70","Haptista","Haptophyta","Isochrysidales"
"71","Ascomycota","Sordariomycetes","Hypocreales"
"72","Firmicutes","Bacilli","Bacillales"
