Sample_ID_short,Volume_Filtered_m3
CTest-TTest-H0,296
CN-T1-H1,308
CN-T2-H2,305
C1-T1-H3,269
C1-T2-H4,312
C1-T3-H5,335
C1-T4-H6,376
C1-T5-H7,269
C1-T6-H8,308
C1-T7-H9,282
C1-T8-H10,286
C1-T9-H11,294
C2-T1-H12,368
C2-T2-H13,305
C2-T3-H14,277
C2-T4-H15a,268
C2-T5-H15b,281
C2-T6-H16,300
C2-T7-H17,280
C2-T8-H18,303
C2-T9-H19,252
C3-T1-H20,296
C3-T2-H21,291
C3-T3-H22,278
C3-T4-H23,301
C3-T5-H24,299
C3-T6-H25,290
C3-T7-H26,280
C3-T8-H27,259
CT1-T1-H28,279
CT1-T2-H29,278
CT1-T3-H30,301
CT1-T4-H31,328
CT1-T5-H32,265
CT1-T6-H33,297
CT1-T7-H34,331
CT1-T8-H35,264
CT2-T1-H36,273
CT2-T2-H37,252
CT2-T3-H38,301
CT2-T4-H39,308
CT2-T5-H40,249
CT2-T6-H41,246
CT2-T7-H42,252
CT2-T8-H43,270
