Genus,Genus_PCR
Abyssorchomene,Calanus*
Acartia,Ctenocalanus*
Acrocalanus,Euphausia
Aetideus,Metridia*
Agalma,Pleuromamma*
Allosergestes,Rosacea
Amphicaryon,
Apolemia,
Botrynema,
Calanus,
Calocalanus,
Candacia,
Charistephane,
Clausocalanus,
Clio,
Clione,
Ctenocalanus,
Ditrichocorycaeus,
Doliolum,
Eucalanus,
Euchaeta,
Euphausia,
Eurythenes,
Eusergestes,
Gennadas,
Heliconoides,
Heterocarpus,
Heterorhabdus,
Labidocera,
Lensia,
Lestrigonus,
Lophothrix,
Lucicutia,
Marrus,
Mecynocera,
Metridia,
Muggiaea,
Nanomia,
Nematobrachion,
Nematoscelis,
Neocalanus,
Neosergestes,
Notocomplana,
Oncaea,
other,
Pantachogon,
Paracalanus,
Paraeuchaeta,
Paraphronima,
Phacellophora,
Phronima,
Pleuromamma,
Primno,
Pseudevadne,
Pseudocalanus,
Pyrosoma,
Racovitzanus,
Rhincalanus,
Rosacea,
Stylocheiron,
Themisto,
Thysanoessa,
Thysanopoda,
Vibilia,
